timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1543217976351,4521,,200,HTTP/1.1 200, 1-56,text,true,,132,0,9926,9926,http://172.23.239.222:9001/container/metrics,4521,0,0
1543217976349,4524,,200,HTTP/1.1 200, 1-45,text,true,,132,0,9925,9925,http://172.23.239.222:9001/container/metrics,4524,0,0
1543217976341,5628,,200,HTTP/1.1 200, 1-10,text,true,,132,0,9924,9924,http://172.23.239.222:9001/container/metrics,5628,0,0
1543217976341,5628,,200,HTTP/1.1 200, 1-11,text,true,,132,0,9924,9924,http://172.23.239.222:9001/container/metrics,5628,0,0
1543217976341,5629,,200,HTTP/1.1 200, 1-13,text,true,,132,0,9922,9922,http://172.23.239.222:9001/container/metrics,5629,0,0
1543217976342,5628,,200,HTTP/1.1 200, 1-15,text,true,,132,0,9921,9921,http://172.23.239.222:9001/container/metrics,5628,0,0
1543217976341,5730,,200,HTTP/1.1 200, 1-12,text,true,,132,0,9920,9920,http://172.23.239.222:9001/container/metrics,5730,0,0
1543217976342,5729,,200,HTTP/1.1 200, 1-16,text,true,,132,0,9920,9920,http://172.23.239.222:9001/container/metrics,5729,0,0
1543217976342,5910,,200,HTTP/1.1 200, 1-17,text,true,,132,0,9918,9918,http://172.23.239.222:9001/container/metrics,5910,0,0
1543217976356,5923,,200,HTTP/1.1 200, 1-80,text,true,,132,0,9917,9917,http://172.23.239.222:9001/container/metrics,5923,0,0
1543217976359,6059,,200,HTTP/1.1 200, 1-89,text,true,,132,0,9916,9916,http://172.23.239.222:9001/container/metrics,6059,0,0
1543217976360,6058,,200,HTTP/1.1 200, 1-93,text,true,,132,0,9916,9916,http://172.23.239.222:9001/container/metrics,6058,0,0
1543217976359,6060,,200,HTTP/1.1 200, 1-90,text,true,,132,0,9914,9914,http://172.23.239.222:9001/container/metrics,6060,0,0
1543217976360,6060,,200,HTTP/1.1 200, 1-92,text,true,,132,0,9913,9913,http://172.23.239.222:9001/container/metrics,6060,0,0
1543217976359,6061,,200,HTTP/1.1 200, 1-91,text,true,,132,0,9913,9913,http://172.23.239.222:9001/container/metrics,6061,0,0
